Title,StudyID,Uploaded by,PI,Upload Date,# Files,Total Size (KB),Species,Instrument
GNPS Genipapo_positive,MSV000081957,Ljubica,Ljubica Svilar,"Jan. 22, 2018, 8:51 AM",7,236109,Genipapo,Q Exactive
GNPS-Chinese_Hunan_Fuzhuan_brick_tea_project_datasets,MSV000081955,TJLing,Tie-Jun Ling,"Jan. 18, 2018, 9:03 PM","2,947",2441583,"Camellia sinensis
Eurotium cristatum",micrOTOF-Q II
GNPS - SEED - Hong - part 1 Jan 2018,MSV000081952,jgauglitz,Suzi Hong,"Jan. 18, 2018, 11:42 AM",464,32411135,Homo sapiens,Q Exactive
GNPS - SEED - Crotty Alexander - E-cig,MSV000081950,jgauglitz,Laura Crotty Alexander,"Jan. 17, 2018, 8:54 PM","4,282",14888055,"Mus <mouse, genus>",maXis
GNPS - cheese cultures - E Pierce Jan 2018,MSV000081949,jgauglitz,Rachel Dutton,"Jan. 17, 2018, 7:36 PM",318,23429742,food fermentation metagenome,Q Exactive
GNPS - Herbarium samples of Ferula arrigonii plant species collected in Sardinia during the years 1986-2006,MSV000081946,lfnothias,Julien Paolini,"Jan. 17, 2018, 12:21 PM",34,342260,Ferula arrigonii,3200 QTRAP
GNPS GFOP CMI workshop test data,MSV000081936,jgauglitz,Julia Gauglitz,"Jan. 13, 2018, 8:46 PM",237,1341552,food metagenome,maXis
GNPS - The secreted metabolome of Streptomyces chartreusis and implications for bacterial chemistry,MSV000081911,mice,Julia Bandow,"Jan. 11, 2018, 1:02 AM",261,255619518,Streptomyces chartreusis,Waters Synapt G2 HDMSE
Primary human microvascular endothelial cells lipidome response to an icMERS (GNPS),MSV000081894,alchemistmatt,"Katrina Waters
Yoshihiro Kawaoka
Richard Smith
Thomas Metz
Ralph Baric","Jan. 5, 2018, 5:26 PM",295,18411269,Homo sapiens,LTQ Orbitrap Velos
Primary human fibroblasts Lipidome response to an icMERS coronavirus (GNPS),MSV000081893,alchemistmatt,"Katrina Waters
Yoshihiro Kawaoka
Richard Smith
Thomas Metz
Ralph Baric","Jan. 5, 2018, 5:25 PM",301,29122436,Homo sapiens,LTQ Orbitrap Velos
Hepatocarcinoma cell line Lipidome response to Ebola (GNPS),MSV000081892,alchemistmatt,"Katrina Waters
Yoshihiro Kawaoka
Richard Smith
Thomas Metz
Ralph Baric","Jan. 5, 2018, 5:23 PM",201,8812763,Homo sapiens,LTQ Orbitrap Velos
GNPS MSn study of polyphenol standards,MSV000081880,jjjvanderhooft,Justin van der Hooft,"Jan. 3, 2018, 4:27 AM","1,063",597042,Polyphenol standard compounds (reference compounds),LTQ Orbitrap
GNPS LC-MSn study of human urine containing red wine breakdown metabolites,MSV000081879,jjjvanderhooft,Justin van der Hooft,"Jan. 3, 2018, 4:14 AM",96,3101176,Homo sapiens,LTQ Orbitrap
GNPS LC-MSn study of human urine samples containing Green Tea breakdown products,MSV000081878,jjjvanderhooft,Justin van der Hooft,"Jan. 3, 2018, 3:57 AM",86,3039384,Homo sapiens,LTQ Orbitrap
"GNPS LC-MSn study of green, white, and black tea extracts",MSV000081877,jjjvanderhooft,Justin van der Hooft,"Jan. 3, 2018, 3:51 AM",54,1262474,Camellia sinensis,LTQ Orbitrap
GNPS - Myxobacterial chemical diversity vs. taxonomy,MSV000081861,dkr06,Rolf Mueller,"Dec. 23, 2017, 5:02 AM",516,81945353,Myxococcales,maXis 4G
GNPS_OSA_mice_standard_compounds,MSV000081853,amelnik,"Pieter Dorrestein
Gabriel Haddad","Dec. 21, 2017, 5:27 PM",49,2911521,Standards,LTQ Orbitrap XL
GNPS U01 COM06 Metabolomics TCH1516 CA-MHB High-Resolution Dual-Polarity qTOF LC/MS Method,MSV000081851,mjmeehan,Bernhard Palsson,"Dec. 21, 2017, 7:06 AM","2,973",92040490,Staphylococcus aureus TCH1516,impact
GNPS U01 COM10 Metabolomics D712 CA-MHB High-Resolution Dual-Polarity qTOF LC/MS Method,MSV000081850,mjmeehan,Bernhard Palsson,"Dec. 21, 2017, 7:06 AM","1,858",12556681,Staphylococcus aureus D712,impact
GNPS U01 COM07 Metabolomics D592 RPMI+10%LB High-Resolution Dual-Polarity qTOF LC/MS Method,MSV000081849,mjmeehan,Bernhard Palsson,"Dec. 21, 2017, 7:06 AM","1,992",31853367,Staphylococcus aureus D592,impact
GNPS U01 COM09 Metabolomics D712 RPMI+10%LB High-Resolution Dual-Polarity qTOF LC/MS Method,MSV000081848,mjmeehan,Bernhard Palsson,"Dec. 21, 2017, 7:06 AM","1,697",8849002,Staphylococcus aureus D712,impact
GNPS U01 COM08 Metabolomics D592 CA-MHB High-Resolution Dual-Polarity qTOF LC/MS Method,MSV000081847,mjmeehan,Bernhard Palsson,"Dec. 21, 2017, 7:06 AM","2,401",21184909,Staphylococcus aureus D592,impact
GNPS U01 COM05 Metabolomics TCH1516 RPMI+10%LB High-Resolution Dual-Polarity qTOF LC/MS Method,MSV000081846,mjmeehan,Bernhard Palsson,"Dec. 21, 2017, 7:05 AM","2,243",15557167,Staphylococcus aureus TCH1516,impact
GNPS U01 COM04 Metabolomics LAC RPMI+10%LB High-Resolution Dual-Polarity qTOF LC/MS Method,MSV000081845,mjmeehan,Bernhard Palsson,"Dec. 21, 2017, 7:05 AM","1,972",21375925,Staphylococcus aureus LAC,impact
