StudyID,StudyPublicationDate,Instrument,Species,Status,Size (MB)
MTBLS1,14/02/12,NMR,Homo sapiens,Public,147.93
MTBLS2,22/05/12,UPLC-QTOF-MS,Arabidopsis thaliana,Public,6357.93
MTBLS3,14/02/12,GC-Q-MS,Caenorhabditis elegans,Public,208.89
MTBLS4,14/02/12,UPLC-LTQ-MS,Homo sapiens,Public,3485.78
MTBLS5,14/09/15,GC-TOF-MS,Synechocystis sp. PCC 6803,Public,1317.35
MTBLS6,29/03/12,GC-Q-MS,Bos taurus;reference compound,Public,261.47
MTBLS7,14/09/15,GC-TOF-MS,Arabidopsis thaliana,Public,4270.74
MTBLS8,19/04/12,GC-TOF-MS,Saccharomyces cerevisiae,Public,5006.29
MTBLS9,18/09/17,NMR,Arabidopsis thaliana,Public,1.65
MTBLS10,14/08/12,HPLC-QTOF-MS,Nicotiana attenuata,Public,180.48
MTBLS11,14/09/15,GC-TOF-MS,Arabidopsis thaliana,Public,4043.93
MTBLS12,14/09/15,GC-TOF-MS,Arabidopsis thaliana,Public,2607.7
MTBLS13,14/09/15,GC-TOF-MS,Arabidopsis thaliana,Public,3136.61
MTBLS14,14/09/15,GC-TOF-MS,Lotus japonicus;Lotus burttii;Lotus creticus;Lotus filicaulis;Lotus corniculatus;Lotus uliginosus;Lotus tenuis,Public,3613.73
MTBLS15,14/09/15,GC-TOF-MS,Lotus burttii;Lotus creticus;Lotus tenuis;Lotus corniculatus;Lotus japonicus;Lotus uliginosus;Lotus filicaulis,Public,3576.28
MTBLS16,14/09/15,GC-TOF-MS,Lotus japonicus;Lotus uliginosus;Lotus tenuis;Lotus filicaulis;Lotus corniculatus;Lotus burttii,Public,3124.55
MTBLS17,30/06/13,UPLC-QTOF-MS,Homo sapiens,Public,28240.62
MTBLS18,31/10/18,UPLC-QTOF-MS;UPLC-DAD,Arabidopsis thaliana,In Review,62612.3
MTBLS19,30/06/13,UPLC-QTOF-MS,Homo sapiens,Public,9339.48
MTBLS20,26/07/13,FIA-LTQ-MS/MS;UPLC-LTQ-MS/MS,reference compound;Homo sapiens,Public,4673.07
MTBLS21,21/09/12,GC-QIT-MS,Triticum aestivum,Public,935.09
MTBLS22,14/09/15,GC-TOF-MS,Arabidopsis thaliana,Public,1123.14
MTBLS23,05/09/12,GC-Q-MS,Mus musculus,Public,212.1
MTBLS24,21/10/12,NMR,Homo sapiens,Public,63.79
MTBLS25,10/01/13,NMR,Homo sapiens,Public,35.41
MTBLS26,19/08/14,UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS,Mus musculus,Public,4668.15
MTBLS27,15/12/16,GC-TOF-MS,reference compound;Homo sapiens,Public,1241.29
MTBLS28,06/05/14,UPLC-QTOF-MS,Homo sapiens,Public,118019.97
MTBLS29,22/05/13,MALDI-TOF/TOF-MS,Saccharomyces cerevisiae;reference compound,Public,1285.47
MTBLS30,10/04/13,GC-Q-MS;FIA-TQ-MS/MS,Mus musculus,Public,4.79
MTBLS31,09/05/13,LC-LTQ-MS/MS,Mus musculus,Public,86.26
MTBLS32,30/05/13,LC-LTQ-MS/MS,Mus musculus,Public,133.2
MTBLS33,30/05/13,LC-LTQ-MS/MS,Mus musculus,Public,35.31
MTBLS34,30/05/13,LC-LTQ-MS/MS,Mus musculus,Public,29.28
MTBLS35,02/05/13,GC-Q-MS,Salmonella enterica,Public,440.18
MTBLS36,07/02/14,UPLC-LTQ-MS/MS,Solanum lycopersicum,Public,70093.89
MTBLS37,08/05/13,GCxGC-TOF-MS,Chlamydomonas reinhardtii,Public,28169.85
MTBLS38,07/02/14,UPLC-LTQ-MS/MS,reference compound,Public,10396.34
MTBLS39,04/11/13,HPLC-LTQ-MS/MS,Vitis vinifera,Public,56.76
MTBLS40,01/03/14,GC-TOF-MS,Arabidopsis thaliana;Alkane standard,Public,5238.15
MTBLS41,14/09/15,GC-TOF-MS,Arabidopsis thaliana,Public,1048.29
MTBLS42,14/09/15,GC-TOF-MS,Arabidopsis thaliana,Public,1123.18
MTBLS43,14/09/15,GC-TOF-MS,Lotus japonicus,Public,1773.9
