StudyID,Title,Species,Institute,Analysis,ReleaseDate,Version,Samples,Download
ST000001,Fatb Induction Experiment (FatBIE),Arabidopsis thaliana,"University of California, Davis",MS,14/02/2013,1,24,Uploaded data (476K)
ST000002,Intestinal Samples II pre/post transplantation,Homo sapiens,"University of California, Davis",MS,22/02/2013,1,12,Uploaded data (664K)
ST000003,"Metabolomic analysis of mouse embryonic fibroblasts, embryonic stem cells, and induced pluripotent stem cells",Mus musculus,"University of California, Davis",MS,15/02/2013,1,18,Uploaded data (5.3G)*
ST000004,Lipidomics studies on NIDDK / NIST human plasma samples,Homo sapiens,LIPID MAPS,MS,17/03/2013,1,8,Uploaded data (48K)
ST000005,Timecourse on RAW 264.7 cells treated with Kdo2-Lipid A and compactin,Mus musculus,LIPID MAPS,MS,22/03/2013,1,696,Uploaded data (56K)
ST000006,White Wine Study,Vitis vinifera,"University of California, Davis",MS,23/03/2013,1,102,Uploaded data (532K)
ST000007,Rice Infection Study,Oryza sativa,"University of California, Davis",MS,24/03/2013,1,60,Uploaded data (1.7M)
ST000008 (Availability TBA),Metabolomics Analysis of Population Genetics (PopGen) for Response to Cholera Vaccination),Homo sapiens,University of North Carolina,NMR,-,-,112,Not available
ST000009,Mixed meal tolerance,Homo sapiens,University of Michigan,MS,26/04/2013,1,228,Uploaded data (8.0M)
ST000010,Lung Cancer Cells 4,Homo sapiens,University of Michigan,MS,03/05/2013,1,78,Uploaded data (2.0M)
ST000011,African Metabolomics,Homo sapiens,University of Michigan,MS,04/05/2013,1,80,Uploaded data (2.2M)
ST000012,Extraction Optimization Study,Chlamydomonas reinhardtii,"University of California, Davis",MS,19/06/2013,1,32,Uploaded data (171M)*
ST000013,Mutation Study,Arabidopsis thaliana,"University of California, Davis",MS,19/06/2013,1,90,Uploaded data (1.6M)
ST000014,Skeletal Muscle Treatment (palmitate/palmitoyl carnitine),Mus musculus,"University of California, Davis",MS,19/06/2013,1,72,Uploaded data (184K)
ST000015,Skeletal Muscle Treatment (palmitate and inhibitors),Mus musculus,"University of California, Davis",MS,19/06/2013,1,125,Uploaded data (920K)
ST000016,NPM-ALK metabolic regulation,Homo sapiens,University of Michigan,MS,24/10/2013,1,110,Uploaded data (21G)*
ST000017,Rat HCR/LCR Stamina Study,Rattus norvegicus,University of Michigan,MS,24/10/2013,1,84,Uploaded data (6.8M)*
ST000018 (Availability TBA),1H-NMR Reproducibility,Homo sapiens,University of North Carolina,NMR,-,-,108,Not available
ST000019,Determine purity and quality of IROA labelled glucose,N / A,University of Florida,MS,05/03/2014,1,6,Uploaded data (90M)*
ST000019,Determine purity and quality of IROA labelled glucose,N / A,University of Florida,NMR,05/03/2014,1,6,Uploaded data (90M)*
ST000020 (Availability TBA),Biomarker Discovery in Knee Osteoarthritis (I),Homo sapiens,University of North Carolina,NMR,-,-,88,Not available
ST000021 (Availability TBA),NMR based metabolomics of CKD,Homo sapiens,University of North Carolina,NMR,-,-,108,Not available
ST000022 (Availability TBA),Biomarker Discovery in Knee Osteoarthritis (II),Homo sapiens,University of North Carolina,NMR,-,-,36,Not available
ST000023 (Availability TBA),GC-MS Metabolomics Reproducibility Study,Homo sapiens,University of North Carolina,MS,-,-,135,Not available
ST000024 (Availability TBA),Metabolomics Analysis of Diabetes and the Cori Cycle (part I),Homo sapiens,University of North Carolina,MS,-,-,16,Not available
ST000025,Metabolomics Analysis of Thermally Challenged Mayfly Larvae (GCMS analysis),Centroptilum triangulifer / Athorix diptoa / Megaloptera,University of North Carolina,MS,12/03/2015,1,31,Uploaded data (870M)*
ST000026,Metabolomics Involved in Early Life Antibiotic Exposures(DuraSTAT-Cecal),Mus musculus,University of North Carolina,NMR,14/03/2015,1,12,Uploaded data (424K)*
ST000027,Metabolomics Involved in Early Life Antibiotic Exposures(DuraSTAT-Liver),Mus musculus,University of North Carolina,NMR,14/03/2015,1,12,Uploaded data (420K)*
ST000028,Metabolomics Involved in Early Life Antibiotic Exposures(DuraSTAT-Urine),Mus musculus,University of North Carolina,NMR,14/03/2015,1,9,Uploaded data (384K)*
ST000029,Metabolomics Involved in Early Life Antibiotic Exposures(TranSTAT-Cecal),Mus musculus,University of North Carolina,NMR,14/03/2015,1,12,Uploaded data (424K)*
ST000030,Metabolomics Involved in Early Life Antibiotic Exposures(TranSTAT-Liver),Mus musculus,University of North Carolina,NMR,14/03/2015,1,12,Uploaded data (420K)*
ST000031,Metabolomics Involved in Early Life Antibiotic Exposures(TranSTAT-Serum),Mus musculus,University of North Carolina,NMR,14/03/2015,1,9,Uploaded data (396K)*
ST000032,Metabolomics Involved in Early Life Antibiotic Exposures(NOD-Cecal),Mus musculus,University of North Carolina,NMR,14/03/2015,1,12,Uploaded data (432K)*
ST000033,Metabolomics Involved in Early Life Antibiotic Exposures(NOD-Liver),Mus musculus,University of North Carolina,NMR,14/03/2015,1,12,Uploaded data (436K)*
ST000034,Metabolomics Involved in Early Life Antibiotic Exposures(NOD-Serum),Mus musculus,University of North Carolina,NMR,14/03/2015,1,12,Uploaded data (400K)*
ST000035,Metabolomics Involved in Early Life Antibiotic Exposures(EstroSTAT-Liver ),Mus musculus,University of North Carolina,NMR,14/03/2015,1,12,Uploaded data (432K)*
ST000036,Metabolomics Involved in Early Life Antibiotic Exposures(EstroSTAT-Serum),Mus musculus,University of North Carolina,NMR,14/03/2015,1,9,Uploaded data (400K)*
ST000037,Metabolomics Involved in Early Life Antibiotic Exposures(EstroSTAT-Urine),Mus musculus,University of North Carolina,NMR,14/03/2015,1,9,Uploaded data (408K)*
ST000038,Metabolomics Involved in Early Life Antibiotic Exposures(VGSTAT-Cecal),Mus musculus,University of North Carolina,NMR,14/03/2015,1,15,Uploaded data (432K)*
ST000039,Metabolomics Involved in Early Life Antibiotic Exposures(VGSTAT-Liver),Mus musculus,University of North Carolina,NMR,14/03/2015,1,15,Uploaded data (460K)*
ST000040,Heatshock response of C. elegans using IROA (I),Caenorhabditis elegans,University of Florida,MS,05/03/2014,1,32,Uploaded data (3.2G)*
ST000041,High PUFA diet in humans,Homo sapiens,University of Michigan,MS,21/04/2014,1,70,Uploaded data (12G)*
ST000042,BALF Control vs ALI by RPLC-MS,Homo sapiens,University of Michigan,MS,21/04/2014,1,46,Uploaded data (7.7G)*
ST000043,MDA-MB-231 cells and p38 gamma knockdown,Homo sapiens,University of Michigan,MS,21/04/2014,1,60,Uploaded data (5.9G)*
ST000044,Pilot experiment looking for the existence of certain molecules in pancreatic cancer cells,Homo sapiens,University of Michigan,MS,21/04/2014,1,12,Uploaded data (2.1G)*
ST000045,Plasma metabolomics: Comparison of non-diabetic controls with T1D patients,Homo sapiens,Mayo Clinic,MS,20/04/2014,1,84,Uploaded data (66G)*
ST000046,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (plasma)",Homo sapiens,Mayo Clinic,MS,25/04/2014,1,180,Uploaded data (150G)*
ST000047,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (CSF)",Homo sapiens,Mayo Clinic,MS,24/04/2014,1,180,Uploaded data (150G)*
ST000048,Metabolomic & lipidomic profiles in response to exogenous insulin & GLP-1 infusions during prolonged fasting (GCMS),Mirounga angustirostris,"University of California, Davis",MS,24/04/2014,1,117,Uploaded data (2.1G)*
ST000049,Metabolomics Analysis of Thermally Challenged Mayfly Larvae (NMR analysis),Centroptilum triangulifer / Athorix diptoa / Megaloptera,University of North Carolina,NMR,01/05/2015,1,13,Uploaded data (7.3M)*
ST000050 (Availability TBA),Preterm Neonatal Urinary Renal Developmental and acute kidney injury Metabolomic Profiling,Homo sapiens,University of North Carolina,NMR,-,-,49,Not available
ST000051 (Availability TBA),Fetal metabolomic signature of exposure to iAs during pregnancy,Homo sapiens,University of North Carolina,NMR,-,-,56,Not available
ST000052 (Availability TBA),Small cell lung cancer metabolome (part I),Homo sapiens,University of North Carolina,MS,-,-,98,Not available
ST000053 (Availability TBA),Metabolic Microenvironments in Normal Breast and Breast Cancer (NMR analysis),Homo sapiens,University of North Carolina,NMR,-,-,139,Not available
ST000054 (Availability TBA),Metabolic Microenvironments in Normal Breast and Breast Cancer (MS analysis),Homo sapiens,University of North Carolina,MS,-,-,192,Not available
ST000055,Effect of kinase inhibitors on FLT3-ITD AML cell metabolomes,Mus musculus,University of North Carolina,MS,01/06/2015,1,24,Uploaded data (1.2G)*
ST000056,Environmental impact on metabolomics and food allergy,Mus musculus,University of North Carolina,NMR,01/06/2015,1,126,Uploaded data (68M)*
ST000057,Combined Metabolomics and Lipidomics of Type 1 Diabetes (GCMS),Mus musculus,"University of California, Davis",MS,14/12/2017,1,75,Not available
ST000058,Metabolite changes associated with methionine stress sensitivity of cancer (GC TOF MS analysis),Homo sapiens,"University of California, Davis",MS,11/07/2014,1,30,Uploaded data (449M)*
ST000061,Metabolic Profiling of Visceral and Subcutaneous Adipose Tissue from Colorectal Cancer Patients: GC-TOF MS analyis of subcutaneous and visceral adipose tissue samples,Homo sapiens,"University of California, Davis",MS,11/07/2014,1,130,Uploaded data (1.8G)*
ST000062,Biomarkers for Depression in Human Plasma in a Population Sample,Homo sapiens,"University of California, Davis",MS,11/07/2014,1,105,Uploaded data (1.5M)*
