Year,Metabolomics,Proteomics,Transcriptomics,Genomics
Pre-1995,,,,29844
1995,,1,,7291
1996,,8,,8322
1997,,44,2,8975
1998,1,64,,9647
1999,1,158,11,10497
2000,3,328,28,11240
2001,14,695,81,12145
2002,35,1103,184,13138
2003,75,1560,360,14531
2004,112,2383,516,16361
2005,182,2823,766,17525
2006,272,3483,964,18576
2007,354,3833,1183,19883
2008,547,4187,1490,21790
2009,653,4823,1706,23588
2010,850,5580,2347,26616
2011,1102,6061,2923,29223
2012,1431,6513,3834,31850
2013,1659,6396,4468,32668
2014,2014,6711,5470,35303
2015,2411,7096,6692,37980
2016,3008,7475,7741,40631
2017,3344,7307,8587,38729
